Month,Low_Strong_Net,Low_Strong_PostTax,Current_Strong_Net,Current_Strong_PostTax,High_Strong_Net,High_Strong_PostTax,Highest_Strong_Net,Highest_Strong_PostTax
1,26775,16065,25545,15327,27000,16200,26400,15840
2,31365,18819,31440,18864,29700,17820,29700,17820
3,37485,22491,35370,21222,35100,21060,36300,21780
4,43605,26163,43230,25938,43200,25920,42900,25740
5,52020,31212,51090,30654,51300,30780,49500,29700
6,61200,36720,58950,35370,59400,35640,59400,35640
7,71910,43146,70740,42444,70200,42120,69300,41580
8,84915,50949,82530,49518,83700,50220,82500,49500
9,100215,60129,98250,58950,97200,58320,95700,57420
10,118575,71145,115935,69561,116100,69660,112200,67320
11,139995,83997,135585,81351,135000,81000,135300,81180
12,165240,99144,161130,96678,159300,95580,158400,95040
13,194310,116586,190605,114363,189000,113400,188100,112860
14,229500,137700,224010,134406,224100,134460,221100,132660
15,270810,162486,265275,159165,264600,158760,260700,156420
16,319770,191862,312435,187461,310500,186300,306900,184140
17,377145,226287,369420,221652,367200,220320,363000,217800
18,445230,267138,434265,260559,432000,259200,429000,257400
19,525555,315333,512865,307719,510300,306180,504900,302940
20,619650,371790,605220,363132,602100,361260,597300,358380
21,731340,438804,715260,429156,710100,426060,702900,421740
22,862920,517752,842985,505791,839700,503820,828300,496980
23,1018215,610929,994290,596574,990900,594540,980100,588060
24,1201815,721089,1173105,703863,1169100,701460,1155000,693000
25,1418310,850986,1385325,831195,1379700,827820,1362900,817740
26,1673055,1003833,1634880,980928,1628100,976860,1607100,964260
27,1974465,1184679,1929630,1157778,1919700,1151820,1897500,1138500
28,2330190,1398114,2275470,1365282,2265300,1359180,2240700,1344420
29,2749410,1649646,2686155,1611693,2673000,1603800,2643300,1585980
30,3244365,1946619,3169545,1901727,3153600,1892160,3118500,1871100
31,3828060,2296836,3739395,2243637,3720600,2232360,3679500,2207700
32,4517325,2710395,4413390,2648034,4390200,2634120,4342800,2605680
33,5330520,3198312,5207250,3124350,5181300,3108780,5124900,3074940
34,6289830,3773898,6144555,3686733,6115500,3669300,6045600,3627360
35,7422030,4453218,7250850,4350510,7214400,4328640,7134600,4280760
36,8757720,5254632,8555610,5133366,8513100,5107860,8418300,5050980